MONTH     INTEREST     BALANCE
1          400          20000          
2          370.176          18508.8          
3          339.756          16987.8          
4          308.727          15436.4          
5          277.078          13853.9          
6          244.796          12239.8          
7          211.868          10593.4          
8          178.281          8914.06          
9          144.023          7201.15          
10          109.08          5453.98          
11          73.4373          3671.86          
12          37.0822          1854.11          
13          37.8238          0          
